Date,Account Holder,Account,Type,Amount,Balance
10-09-2026 09:15,Rahul,1001,Deposit,5000,5000
10-09-2026 10:30,Rahul,1001,Withdrawal,1000,4000
11-09-2026 11:20,Ananya,1002,Deposit,8000,8000
11-09-2026 14:10,Ananya,1002,Withdrawal,2500,5500
11-09-2026 09:45,Rahul,1001,Deposit,3000,7000
12-09-2026 16:30,Arjun,1003,Deposit,10000,10000
12-09-2026 12:00,Arjun,1003,Withdrawal,3500,6500
13-09-2026 10:15,Ananya,1002,Deposit,2000,7500
13-09-2026 15:05,Rahul,1001,Deposit,5000,12000
15-09-2026 13:58,Tony,1004,Deposit,10000,10000
15-09-2026 18:57,Tony,1004,Withdrawal,2000,8000
